CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,ANALF15,NOESC_614,EDBAS_INC,PSDSS,VPT,VNOWC,VNOAGUA,VNODREN,VNOELEC,VNOLAV,VNOREF,IRS,GRS,LC_NAL
01,Aguascalientes,01001,Aguascalientes,"948,990",1.642183,4.601069,20.252928,18.250877,0.574092,0.272787,0.371096,0.299428,0.164348,12.125340,4.333453,-1.315320,Muy bajo,"2,435"
01,Aguascalientes,01002,Asientos,"51,536",3.523404,6.294853,33.869504,14.727569,1.469414,3.825268,0.990257,3.569717,0.758665,17.696854,11.587606,-0.857301,Muy bajo,"1,986"
01,Aguascalientes,01003,Calvillo,"58,250",4.487288,6.948460,42.424388,20.312446,1.121134,0.715206,0.940722,0.663660,0.721649,12.628866,5.547680,-0.918554,Muy bajo,"2,076"
01,Aguascalientes,01004,Cosío,"17,000",3.139545,5.697637,27.595837,13.805882,1.017553,2.009667,0.788603,1.195625,0.635970,18.519461,10.506233,-1.004023,Muy bajo,"2,178"
01,Aguascalientes,01005,Jesús María,"129,929",2.377387,5.877568,26.604873,21.010706,1.239034,0.584848,0.862199,0.780803,0.467276,12.007476,5.296795,-1.173361,Muy bajo,"2,347"
01,Aguascalientes,01006,Pabellón de Arteaga,"47,646",2.724991,4.438116,25.615513,18.591277,0.681818,0.970280,1.066434,0.891608,0.585664,12.954545,6.704545,-1.168755,Muy bajo,"2,343"
01,Aguascalientes,01007,Rincón de Romos,"57,369",3.442602,4.382054,27.042147,19.862644,1.269373,1.778598,1.092251,1.498155,0.664207,17.239852,8.575646,-1.065487,Muy bajo,"2,256"
01,Aguascalientes,01008,San José de Gracia,"9,552",2.439024,5.735378,28.424605,13.075796,1.009251,2.733389,1.892347,2.649285,1.387721,16.862910,9.882254,-0.956906,Muy bajo,"2,121"
01,Aguascalientes,01009,Tepezalá,"22,485",4.231683,5.367841,34.996468,14.934401,1.644190,2.660262,1.182339,1.902827,0.812858,15.998522,9.181600,-0.900102,Muy bajo,"2,041"
01,Aguascalientes,01010,El Llano,"20,853",3.889612,4.397087,34.924331,21.037740,1.536098,3.302611,1.804916,3.801843,1.459293,20.142089,13.018433,-0.829259,Muy bajo,"1,955"
01,Aguascalientes,01011,San Francisco de los Romo,"61,997",2.354126,6.429683,28.386153,17.055664,0.714722,0.488699,0.537569,0.342089,0.458155,18.112401,8.869884,-1.075474,Muy bajo,"2,261"
02,Baja California,02001,Ensenada,"443,807",2.281879,5.455517,25.217238,17.531945,1.803281,0.797217,4.376413,5.291017,1.698858,19.610681,7.200881,-0.970463,Muy bajo,"2,142"
02,Baja California,02002,Mexicali,"1,049,792",1.612190,4.884076,21.403443,18.162265,1.389378,0.401693,0.824336,3.432152,0.683759,12.045932,3.052320,-1.240347,Muy bajo,"2,397"
02,Baja California,02003,Tecate,"108,440",1.921376,6.041172,28.422073,18.180561,1.835633,1.079404,3.739133,2.430275,1.577093,14.184145,4.928417,-1.024642,Muy bajo,"2,208"
02,Baja California,02004,Tijuana,"1,922,523",1.463182,7.626528,24.483910,25.036163,2.176452,0.691251,1.185623,0.919757,0.294190,18.128060,4.410247,-1.149643,Muy bajo,"2,320"
02,Baja California,02005,Playas de Rosarito,"126,890",2.017930,7.745966,29.498303,28.093624,2.723725,1.353788,5.006056,2.301171,0.777823,22.494954,5.611627,-0.956101,Muy bajo,"2,119"
02,Baja California,02006,San Quintín,"117,568",8.111663,5.709051,47.137132,26.498707,4.285142,0.918025,15.991497,43.726318,5.748437,41.985768,27.673208,0.349481,Medio,700
03,Baja California Sur,03001,Comondú,"73,021",4.076639,3.561304,32.208889,11.714438,3.134328,0.967888,1.899593,4.246947,1.610131,27.933062,7.914971,-0.811338,Muy bajo,"1,938"
03,Baja California Sur,03002,Mulegé,"64,022",4.148104,5.624630,33.481125,14.980788,3.035501,1.912781,2.941941,11.476688,2.307812,32.974687,15.031966,-0.568869,Bajo,"1,630"
03,Baja California Sur,03003,La Paz,"292,241",1.779959,3.317793,19.758739,14.084608,2.038709,1.053406,2.398998,1.333509,1.253323,24.958808,5.639403,-1.101218,Muy bajo,"2,285"
03,Baja California Sur,03008,Los Cabos,"351,111",2.115111,4.765198,23.815597,19.249183,7.763458,1.332203,8.504008,1.621126,0.798730,38.085612,9.145951,-0.758723,Muy bajo,"1,858"
