CVE_ENT,ENT,CVE_MUN,MUN,GINI,RAZ_ING
01,Aguascalientes,01001,Aguascalientes,0.376907,0.143824
01,Aguascalientes,01002,Asientos,0.329894,0.180693
01,Aguascalientes,01003,Calvillo,0.344348,0.157365
01,Aguascalientes,01004,Cosío,0.330614,0.147010
01,Aguascalientes,01005,Jesús María,0.370911,0.146996
01,Aguascalientes,01006,Pabellón de Arteaga,0.356793,0.142829
01,Aguascalientes,01007,Rincón de Romos,0.361837,0.145662
01,Aguascalientes,01008,San José de Gracia,0.331170,0.209038
01,Aguascalientes,01009,Tepezalá,0.330025,0.166796
01,Aguascalientes,01010,El Llano,0.329181,0.194338
01,Aguascalientes,01011,San Francisco de los Romo,0.341609,0.188114
02,Baja California,02001,Ensenada,0.348666,0.145367
02,Baja California,02002,Mexicali,0.333640,0.152241
02,Baja California,02003,Tecate,0.330117,0.159202
02,Baja California,02004,Tijuana,0.322179,0.159595
02,Baja California,02005,Playas de Rosarito,0.346496,0.166171
02,Baja California,02006,San Quintín,0.346154,0.146622
03,Baja California Sur,03001,Comondú,0.375983,0.131727
03,Baja California Sur,03002,Mulegé,0.354413,0.151567
03,Baja California Sur,03003,La Paz,0.355926,0.103736
03,Baja California Sur,03008,Los Cabos,0.366694,0.151592
03,Baja California Sur,03009,Loreto,0.386939,0.151270
04,Campeche,04001,Calkiní,0.406654,0.156660
04,Campeche,04002,Campeche,0.370776,0.157121
04,Campeche,04003,Carmen,0.409335,0.125995
04,Campeche,04004,Champotón,0.353485,0.181877
04,Campeche,04005,Hecelchakán,0.405122,0.147178
04,Campeche,04006,Hopelchén,0.406289,0.129693
04,Campeche,04007,Palizada,0.365804,0.142296
04,Campeche,04008,Tenabo,0.337827,0.175070
04,Campeche,04009,Escárcega,0.393705,0.152223
04,Campeche,04010,Calakmul,0.422585,0.133501
04,Campeche,04011,Candelaria,0.429083,0.123254
04,Campeche,04012,Seybaplaya,n.d.,n.d.
05,Coahuila,05001,Abasolo,0.302534,0.146896
05,Coahuila,05002,Acuña,0.304015,0.156127
05,Coahuila,05003,Allende,0.326268,0.182704
05,Coahuila,05004,Arteaga,0.385340,0.137118
05,Coahuila,05005,Candela,0.337005,0.177888
05,Coahuila,05006,Castaños,0.329159,0.155591
05,Coahuila,05007,Cuatro Ciénegas,0.375161,0.110711
05,Coahuila,05008,Escobedo,0.303312,0.196008
05,Coahuila,05009,Francisco I. Madero,0.332959,0.168919
05,Coahuila,05010,Frontera,0.321204,0.152029
05,Coahuila,05011,General Cepeda,0.326042,0.166783
05,Coahuila,05012,Guerrero,0.312728,0.164018
05,Coahuila,05013,Hidalgo,0.321327,0.132801
05,Coahuila,05014,Jiménez,0.328630,0.156717
05,Coahuila,05015,Juárez,0.299340,0.188245
05,Coahuila,05016,Lamadrid,0.312275,0.148806
05,Coahuila,05017,Matamoros,0.339329,0.159830
05,Coahuila,05018,Monclova,0.353475,0.138057
05,Coahuila,05019,Morelos,0.319998,0.142100
05,Coahuila,05020,Múzquiz,0.319746,0.192721
05,Coahuila,05021,Nadadores,0.308511,0.177440
05,Coahuila,05022,Nava,0.314774,0.163560
05,Coahuila,05023,Ocampo,0.325659,0.165549
05,Coahuila,05024,Parras,0.341424,0.133326
05,Coahuila,05025,Piedras Negras,0.329846,0.133012
05,Coahuila,05026,Progreso,0.320245,0.187549
05,Coahuila,05027,Ramos Arizpe,0.332400,0.141603
05,Coahuila,05028,Sabinas,0.331669,0.154874
05,Coahuila,05029,Sacramento,0.305774,0.181366
05,Coahuila,05030,Saltillo,0.356811,0.132976
05,Coahuila,05031,San Buenaventura,0.314656,0.184966
05,Coahuila,05032,San Juan de Sabinas,0.331357,0.153570
05,Coahuila,05033,San Pedro,0.366806,0.132094
05,Coahuila,05034,Sierra Mojada,0.300613,0.194708
05,Coahuila,05035,Torreón,0.372859,0.122844
05,Coahuila,05036,Viesca,0.324123,0.196972
05,Coahuila,05037,Villa Unión,0.308889,0.172384
05,Coahuila,05038,Zaragoza,0.340557,0.142976
06,Colima,06001,Armería,0.354635,0.144358
06,Colima,06002,Colima,0.364891,0.126923
06,Colima,06003,Comala,0.417186,0.122490
06,Colima,06004,Coquimatlán,0.379335,0.147951
06,Colima,06005,Cuauhtémoc,0.348688,0.171677
06,Colima,06006,Ixtlahuacán,0.360845,0.136554
06,Colima,06007,Manzanillo,0.350855,0.160658
06,Colima,06008,Minatitlán,0.347824,0.149626
06,Colima,06009,Tecomán,0.352934,0.142419
