cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
1,1001,1,1091,869,222,,,,,,,,
1,1001,2,201,169,32,,,,Etiquetas de fila,Suma de sexostt,,Entidad,Valores
1,1001,3,145,100,45,,,,1,2027,,1,2027
1,1001,4,0,0,0,,,,10,2206,,2,6690
1,1001,5,0,0,0,,,,11,9333,,3,1837
1,1001,6,NA,NA,NA,,,,12,5771,,4,646
1,1001,7,3,3,0,,,,13,4053,,5,3269
1,1001,8,0,0,0,,,,14,13023,,6,1033
1,1001,9,0,0,0,,,,15,24608,,7,7951
1,1002,1,46,32,14,,,,16,6521,,8,5975
1,1002,2,0,0,0,,,,17,2792,,9,0
1,1002,3,0,0,0,,,,18,1813,,10,2206
1,1002,4,0,0,0,,,,19,7986,,11,9333
1,1002,5,0,0,0,,,,2,6690,,12,5771
1,1002,6,NA,NA,NA,,,,20,13595,,13,4053
1,1002,7,5,5,0,,,,21,8927,,14,13023
1,1002,8,6,3,3,,,,22,2769,,15,24608
1,1002,9,2,1,1,,,,23,3125,,16,6521
1,1003,1,73,55,18,,,,24,3020,,17,2792
1,1003,2,0,0,0,,,,25,4208,,18,1813
1,1003,3,0,0,0,,,,26,4474,,19,7986
1,1003,4,0,0,0,,,,27,4496,,20,13595
1,1003,5,0,0,0,,,,28,437,,21,8927
1,1003,6,NA,NA,NA,,,,29,2167,,22,2769
1,1003,7,0,0,0,,,,3,1837,,23,3125
1,1003,8,7,2,5,,,,30,6217,,24,3020
1,1003,9,0,0,0,,,,31,3467,,25,4208
1,1004,1,28,20,8,,,,32,1182,,26,4474
1,1004,2,0,0,0,,,,4,646,,27,4496
1,1004,3,0,0,0,,,,5,3269,,28,437
1,1004,4,0,0,0,,,,6,1033,,29,2167
1,1004,5,0,0,0,,,,7,7951,,30,6217
1,1004,6,NA,NA,NA,,,,8,5975,,31,3467
1,1004,7,0,0,0,,,,9,0,,32,1182
1,1004,8,0,0,0,,,,Total general,165618,,Total general,165618
1,1004,9,0,0,0,,,,,,,,
1,1005,1,145,117,28,,,,,,,,
1,1005,2,0,0,0,,,,,,,,
1,1005,3,0,0,0,,,,,,,,
1,1005,4,0,0,0,,,,,,,,
1,1005,5,0,0,0,,,,,,,,
1,1005,6,NA,NA,NA,,,,,,,,
1,1005,7,5,2,3,,,,,,,,
1,1005,8,38,26,12,,,,,,,,
1,1005,9,0,0,0,,,,,,,,
1,1006,1,58,37,21,,,,,,,,
1,1006,2,0,0,0,,,,,,,,
1,1006,3,0,0,0,,,,,,,,
1,1006,4,0,0,0,,,,,,,,
1,1006,5,0,0,0,,,,,,,,
1,1006,6,NA,NA,NA,,,,,,,,
1,1006,7,0,0,0,,,,,,,,
1,1006,8,0,0,0,,,,,,,,
1,1006,9,9,2,7,,,,,,,,
1,1007,1,70,54,16,,,,,,,,
1,1007,2,0,0,0,,,,,,,,
1,1007,3,0,0,0,,,,,,,,
1,1007,4,0,0,0,,,,,,,,
1,1007,5,0,0,0,,,,,,,,
1,1007,6,NA,NA,NA,,,,,,,,
1,1007,7,0,0,0,,,,,,,,
1,1007,8,0,0,0,,,,,,,,
1,1007,9,0,0,0,,,,,,,,
1,1008,1,23,17,6,,,,,,,,
1,1008,2,0,0,0,,,,,,,,
1,1008,3,0,0,0,,,,,,,,
1,1008,4,0,0,0,,,,,,,,
1,1008,5,0,0,0,,,,,,,,
1,1008,6,NA,NA,NA,,,,,,,,
1,1008,7,2,2,0,,,,,,,,
1,1008,8,2,0,2,,,,,,,,
1,1008,9,2,0,2,,,,,,,,
1,1009,1,26,22,4,,,,,,,,
1,1009,2,0,0,0,,,,,,,,
1,1009,3,0,0,0,,,,,,,,
1,1009,4,0,0,0,,,,,,,,
1,1009,5,0,0,0,,,,,,,,
1,1009,6,NA,NA,NA,,,,,,,,
1,1009,7,2,2,0,,,,,,,,
1,1009,8,2,1,1,,,,,,,,
1,1009,9,7,2,5,,,,,,,,
1,1010,1,39,26,13,,,,,,,,
1,1010,2,0,0,0,,,,,,,,
1,1010,3,0,0,0,,,,,,,,
1,1010,4,0,0,0,,,,,,,,
1,1010,5,0,0,0,,,,,,,,
1,1010,6,NA,NA,NA,,,,,,,,
1,1010,7,5,5,0,,,,,,,,
1,1010,8,11,7,4,,,,,,,,
1,1010,9,0,0,0,,,,,,,,
1,1011,1,82,53,29,,,,,,,,
1,1011,2,0,0,0,,,,,,,,
1,1011,3,0,0,0,,,,,,,,
1,1011,4,0,0,0,,,,,,,,
1,1011,5,0,0,0,,,,,,,,
1,1011,6,NA,NA,NA,,,,,,,,
1,1011,7,3,3,0,,,,,,,,
1,1011,8,12,5,7,,,,,,,,
1,1011,9,0,0,0,,,,,,,,
2,2001,1,841,686,155,,,,,,,,
2,2001,2,0,0,0,,,,,,,,
2,2001,3,0,0,0,,,,,,,,
2,2001,4,0,0,0,,,,,,,,
2,2001,5,0,0,0,,,,,,,,
2,2001,6,NA,NA,NA,,,,,,,,
2,2001,7,11,11,0,,,,,,,,
2,2001,8,61,36,25,,,,,,,,
2,2001,9,0,0,0,,,,,,,,
2,2002,1,1714,1222,492,,,,,,,,
2,2002,2,242,209,33,,,,,,,,
2,2002,3,0,0,0,,,,,,,,
2,2002,4,0,0,0,,,,,,,,
2,2002,5,0,0,0,,,,,,,,
2,2002,6,NA,NA,NA,,,,,,,,
2,2002,7,9,5,4,,,,,,,,
2,2002,8,306,167,139,,,,,,,,
2,2002,9,0,0,0,,,,,,,,
2,2003,1,177,143,34,,,,,,,,
2,2003,2,6,5,1,,,,,,,,
2,2003,3,31,19,12,,,,,,,,
2,2003,4,0,0,0,,,,,,,,
2,2003,5,0,0,0,,,,,,,,
2,2003,6,NA,NA,NA,,,,,,,,
2,2003,7,7,7,0,,,,,,,,
2,2003,8,16,9,7,,,,,,,,
2,2003,9,0,0,0,,,,,,,,
2,2004,1,2265,1895,370,,,,,,,,
2,2004,2,117,110,7,,,,,,,,
2,2004,3,967,778,189,,,,,,,,
2,2004,4,0,0,0,,,,,,,,
2,2004,5,0,0,0,,,,,,,,
2,2004,6,NA,NA,NA,,,,,,,,
2,2004,7,71,61,10,,,,,,,,
2,2004,8,513,226,287,,,,,,,,
2,2004,9,0,0,0,,,,,,,,
2,2005,1,213,191,22,,,,,,,,
2,2005,2,25,25,0,,,,,,,,
2,2005,3,92,81,11,,,,,,,,
2,2005,4,0,0,0,,,,,,,,
2,2005,5,0,0,0,,,,,,,,
2,2005,6,NA,NA,NA,,,,,,,,
2,2005,7,0,0,0,,,,,,,,
2,2005,8,0,0,0,,,,,,,,
